22856 115884
10453 357 0.0625
9111 9110 0.0625
932 4539 0.0625
13789 15230 0.0625
3827 1821 0.0625
5639 5638 0.125
18690 21533 0.0625
5848 5850 0.0625
18217 9171 0.0625
14706 825 0.0625
14706 824 0.0625
20923 20920 0.0625
6690 20321 0.0625
20923 20922 0.0625
1068 5639 0.0625
3132 4452 0.0625
5878 5879 0.0625
12285 14560 0.0625
1752 7633 0.0625
3237 12188 0.125
499 609 0.375
19564 19563 0.0625
19564 19562 0.0625
11535 11534 0.0625
5234 1151 0.125
5234 1153 0.0625
17266 2187 0.0625
21513 22821 0.0625
21513 22820 0.0625
14543 1129 0.0625
9804 9803 0.125
2545 1566 0.0625
1394 15923 0.0625
4711 12101 0.0625
4711 12100 0.0625
4711 12102 0.0625
8845 1251 0.0625
4504 3195 0.0625
2667 16892 0.125
10716 19404 0.0625
19788 19787 0.0625
19788 19786 0.0625
19788 19785 0.0625
19788 19784 0.0625
11644 1526 0.0625
8703 8704 0.0625
2545 1619 0.0625
8384 805 0.0625
1253 12495 0.0625
19788 19789 0.0625
20662 20661 0.0625
15128 3065 0.0625
19560 19559 0.0625
3484 3485 0.0625
6387 1159 0.0625
11606 11174 0.0625
1814 1815 0.1875
22413 22409 0.0625
14035 14040 0.0625
8240 8241 0.0625
4562 7112 0.0625
4010 9469 0.0625
4010 9468 0.0625
21342 21341 0.0625
20662 20666 0.0625
13432 3322 0.125
150 149 0.0625
2559 16075 0.0625
15144 271 0.0625
13538 5075 0.0625
11561 4220 0.1875
14069 471 0.125
8187 8186 0.0625
4493 265 0.125
8187 8185 0.1875
22778 937 0.0625
20318 6690 0.0625
274 273 0.0625
274 272 0.0625
274 271 0.5
3447 3446 0.0625
19636 19638 0.0625
3447 3444 0.0625
3447 3445 0.0625
22662 3850 0.0625
13498 13497 0.0625
9852 4297 0.125
16525 16524 0.0625
10716 19400 0.125
2664 2665 0.0625
16525 16523 0.0625
2664 2667 0.0625
2664 2666 0.0625
5952 17218 0.0625
8870 13506 0.0625
8870 13507 0.0625
22210 22206 0.0625
22210 22207 0.0625
20079 18390 0.0625
3070 3072 0.0625
1097 1098 0.0625
1097 1099 0.0625
20923 20921 0.0625
3070 3075 0.0625
3070 3074 0.0625
15856 5592 0.0625
17012 1288 0.0625
19478 18900 0.0625
2200 9958 0.0625
8039 21081 0.0625
11317 11318 0.0625
11317 11319 0.0625
22686 20966 0.0625
1624 271 0.1875
12952 10540 0.0625
2871 2874 0.0625
19686 19867 0.0625
11425 11428 0.0625
11425 11426 0.0625
11425 11427 0.0625
1779 1781 0.0625
1779 1780 0.0625
2659 15077 0.0625
1576 6243 0.125
7772 16231 0.0625
7391 6357 0.0625
968 10346 0.0625
21477 21478 0.0625
21477 21479 0.0625
4290 13981 0.125
9232 3743 0.0625
21477 21476 0.0625
21127 13281 0.0625
10227 1619 0.0625
19629 17736 0.0625
3458 5319 0.125
8973 15382 0.125
19629 17735 0.0625
7478 20019 0.0625
12696 12695 0.0625
14755 14756 0.0625
14755 14757 0.0625
14755 14754 0.0625
20027 20023 0.0625
14755 14752 0.0625
14755 14753 0.0625
14755 14750 0.0625
14755 14751 0.0625
14070 14072 0.0625
14070 14071 0.0625
4321 22263 0.0625
14755 14758 0.0625
14755 14759 0.0625
3088 3090 0.0625
1512 14972 0.0625
2679 16429 0.0625
14866 14065 0.0625
14866 14064 0.0625
4717 3824 0.0625
16 9 0.125
16 8 0.125
5687 5684 0.0625
8323 19253 0.0625
22616 15454 0.0625
16 3 0.125
234 5786 0.0625
16 5 0.125
16 4 0.125
16 7 0.125
16 6 0.125
1237 271 0.125
16108 16110 0.0625
19761 3386 0.0625
4655 13163 0.0625
4655 13162 0.0625
7431 3025 0.0625
21468 1830 0.0625
22441 2689 0.0625
8594 13433 0.125
7941 8531 0.0625
8594 13435 0.125
8594 13434 0.125
12404 3934 0.125
8594 13436 0.125
8594 13438 0.0625
18276 569 0.0625
9747 10301 0.125
19212 19210 0.0625
14835 15721 0.0625
12193 12190 0.125
12193 12191 0.125
12193 12192 0.0625
19741 6704 0.0625
8620 810 0.0625
11653 6735 0.0625
14500 14503 0.0625
14500 14502 0.0625
8181 8182 0.0625
18792 4699 0.0625
7384 16865 0.0625
7384 16864 0.0625
13624 13626 0.0625
13624 13625 0.0625
2138 2140 0.5
13624 13622 0.0625
13624 13621 0.0625
18270 22381 0.0625
5825 12093 0.0625
6038 19579 0.0625
2314 896 0.25
5825 12096 0.0625
6490 6492 0.0625
3398 3399 0.125
5825 12095 0.0625
1400 17896 0.0625
1571 2925 0.0625
22187 2910 0.0625
2693 9899 0.0625
13909 4791 0.0625
12393 12394 0.0625
12393 12395 0.0625
8620 3027 0.0625
1349 3510 0.0625
504 503 0.0625
3211 3214 0.0625
3211 3215 0.0625
3211 3212 0.0625
3211 3213 0.0625
504 505 0.0625
15068 1036 0.125
15068 1037 0.0625
1824 2135 0.25
10119 10117 0.0625
1889 9444 0.0625
1394 15924 0.0625
21066 20340 0.0625
10119 10114 0.0625
12614 12608 0.0625
12614 12609 0.0625
4590 306 0.125
19325 19326 0.0625
265 6439 0.125
16605 16608 0.0625
4064 14275 0.0625
16605 16606 0.0625
16605 16607 0.0625
1439 5156 0.125
17775 1619 0.0625
6011 1872 0.0625
7764 11630 0.0625
16877 16878 0.0625
8850 8851 0.0625
4746 4745 0.0625
2400 12944 0.0625
6769 6770 0.0625
3598 3596 0.125
13275 13273 0.0625
2634 2635 0.0625
2634 2633 0.0625
2634 2632 0.0625
2634 2631 0.0625
11653 15023 0.0625
4209 9330 0.0625
1286 9809 0.0625
10555 1282 0.125
16891 22726 0.0625
867 411 0.0625
867 410 0.0625
20859 20863 0.0625
867 412 0.0625
14464 15172 0.0625
14464 15173 0.0625
14464 15170 0.0625
14464 15171 0.0625
13012 15903 0.0625
3244 17957 0.0625
6541 2204 0.0625
10625 10619 0.0625
10625 10618 0.0625
1396 17535 0.0625
1396 17534 0.0625
1396 17533 0.0625
1396 17532 0.0625
1396 17531 0.0625
1396 17530 0.0625
14542 3976 0.0625
14127 18515 0.125
14127 18514 0.125
14127 18516 0.0625
3 14311 0.0625
7821 657 0.0625
258 259 0.0625
5592 9074 0.125
12369 2463 0.0625
12369 2462 0.0625
734 17250 0.0625
12369 2464 0.0625
442 448 0.0625
8810 4032 0.0625
442 445 0.0625
442 444 0.0625
442 447 0.0625
442 446 0.0625
6998 4272 0.0625
442 443 0.0625
5179 548 0.0625
4065 3337 0.0625
2396 2395 0.125
16907 16906 0.0625
19788 19783 0.0625
10786 5593 0.0625
21807 21417 0.0625
10155 448 0.0625
5210 420 0.125
3748 1852 0.0625
2500 18899 0.0625
258 256 0.0625
931 929 0.0625
931 928 0.125
3462 3463 0.0625
3281 14107 0.0625
931 927 0.0625
10082 10081 0.125
1282 222 0.6875
10082 10083 0.0625
1282 220 0.0625
16198 16197 0.0625
2900 2902 0.0625
2900 2901 0.0625
7727 8090 0.0625
3118 187 0.125
5061 20613 0.0625
14122 8960 0.0625
5176 12040 0.0625
18557 12435 0.0625
5889 5890 0.0625
14200 14201 0.0625
2001 2000 0.0625
6475 6474 0.0625
6475 6476 0.0625
18603 22241 0.125
14378 22330 0.0625
11692 1329 0.0625
12058 12057 0.0625
17842 17843 0.0625
11473 3210 0.1875
16600 7256 0.0625
414 13770 0.125
414 13771 0.0625
18241 18239 0.0625
18241 18238 0.0625
12263 6650 0.0625
4807 4806 0.0625
222 7310 0.0625
4807 4808 0.0625
4582 16627 0.0625
18793 18794 0.0625
127 23 0.0625
3497 10403 0.0625
19033 19032 0.0625
19033 19034 0.0625
9212 13004 0.0625
7819 344 0.125
18905 18904 0.0625
18905 18902 0.0625
12238 4623 0.0625
4917 4790 0.125
2818 2820 0.0625
2818 2821 0.0625
6427 15133 0.0625
6427 15132 0.0625
484 490 0.0625
484 491 0.0625
484 492 0.0625
484 493 0.0625
484 494 0.125
484 495 0.0625
15083 15082 0.0625
4493 2071 0.125
7356 7988 0.0625
7356 7989 0.0625
22413 22408 0.0625
14275 9165 0.0625
21177 21370 0.0625
5440 1226 0.0625
1589 10842 0.125
13314 13313 0.0625
13314 13312 0.0625
2011 9598 0.0625
13855 11077 0.125
3208 11467 0.125
3208 11466 0.125
19265 19264 0.0625
4721 4720 0.0625
4721 4722 0.0625
4721 4723 0.0625
4721 4724 0.125
13852 16754 0.0625
4866 9596 0.125
4866 9597 0.125
16541 17707 0.0625
16541 17706 0.0625
3507 3508 0.0625
17689 17687 0.0625
10739 10742 0.0625
16714 16715 0.0625
11150 11148 0.0625
11150 11149 0.0625
21760 21758 0.0625
19279 19277 0.0625
20867 20866 0.0625
15675 11424 0.0625
19279 19278 0.0625
10838 9537 0.0625
2689 7057 0.0625
8029 4211 0.0625
2394 16339 0.0625
2394 16338 0.0625
17296 17297 0.0625
21549 21550 0.0625
17296 17299 0.0625
17296 17298 0.0625
6458 3603 0.1875
19601 27 0.0625
17859 17856 0.0625
11137 16718 0.0625
1559 1560 0.0625
17859 17858 0.0625
4161 3954 0.0625
1092 271 0.0625
4355 220 0.125
4355 222 0.125
12051 772 0.0625
6983 3703 0.0625
4281 5360 0.0625
21651 21652 0.0625
9711 20507 0.0625
9371 13666 0.0625
3863 2039 0.0625
12040 2179 0.0625
19820 7499 0.0625
6450 1162 0.0625
1529 1528 0.1875
20969 20971 0.0625
20969 20970 0.0625
9711 20506 0.0625
17895 10946 0.0625
20423 20422 0.0625
9654 9653 0.0625
7057 932 0.0625
2560 5265 0.0625
2560 5264 0.125
12536 2579 0.0625
1264 5811 0.0625
4426 4430 0.0625
4426 4431 0.0625
9230 1624 0.0625
19824 19827 0.0625
19824 19826 0.0625
19824 19825 0.0625
10538 4683 0.0625
18192 18190 0.0625
18197 450 0.0625
6739 10180 0.0625
3806 3805 0.0625
4414 165 0.0625
18985 20607 0.0625
4323 4326 0.0625
4323 4327 0.0625
4323 4324 0.0625
4323 4325 0.0625
10621 10619 0.0625
10621 10618 0.0625
13825 13822 0.0625
13825 13823 0.0625
13825 13820 0.0625
2629 1264 0.0625
7210 644 0.0625
17462 326 0.0625
920 6187 0.0625
12496 12493 0.0625
12496 12492 0.0625
12496 12495 0.0625
12496 12494 0.0625
10680 14302 0.0625
10680 14303 0.0625
3178 3179 0.0625
10680 14301 0.0625
21392 4437 0.0625
17288 17289 0.0625
21392 4435 0.0625
10035 7732 0.0625
14897 14899 0.0625
997 996 0.125
9685 9690 0.0625
18791 18790 0.0625
16476 16475 0.0625
16476 16477 0.0625
13438 3322 0.0625
8872 657 0.0625
18699 18701 0.0625
10901 10898 0.0625
10901 10899 0.0625
16476 16479 0.0625
16476 16478 0.0625
18386 20079 0.0625
15822 15824 0.0625
5176 21607 0.0625
15822 15821 0.0625
20258 18219 0.0625
15822 15823 0.0625
15881 3649 0.0625
8838 8839 0.0625
21162 21161 0.0625
21162 21160 0.0625
21162 21163 0.0625
21162 21165 0.0625
21162 21164 0.0625
18474 18823 0.0625
5461 5459 0.0625
5461 5458 0.0625
12737 5984 0.0625
9121 16807 0.0625
17859 10849 0.0625
3372 3504 0.0625
3372 3505 0.0625
