3621 20998
900 899 0.0625
900 898 0.0625
2825 2600 0.0625
2631 264 0.0625
2236 2237 0.0625
1118 276 0.1875
1948 579 0.0625
1340 1339 0.0625
40 1667 0.0625
2318 2320 0.0625
428 891 0.0625
572 800 0.125
897 1666 0.0625
763 45 0.0625
2922 1239 0.0625
2347 3166 0.0625
95 545 0.125
1170 3079 0.0625
534 44 0.0625
534 45 0.0625
371 2605 0.0625
325 260 0.0625
519 1569 0.3125
1094 1145 0.0625
1212 2463 0.0625
164 2775 0.125
2211 1950 0.125
1986 1113 0.0625
1986 1114 0.25
1728 537 0.0625
2325 1508 0.1875
230 3178 0.125
230 3179 0.0625
2537 2538 0.0625
709 951 0.0625
303 1306 0.0625
541 998 0.0625
42 308 0.0625
3024 219 0.0625
181 1086 0.0625
2663 1369 0.0625
204 1172 0.0625
609 61 0.0625
2550 899 0.0625
935 243 0.0625
3559 2939 0.0625
2306 950 0.0625
2891 2892 0.0625
2891 2893 0.0625
2116 1105 0.0625
549 1059 0.0625
2832 305 0.0625
1257 870 0.0625
194 2391 0.0625
2587 1640 0.0625
2064 625 0.0625
45 3153 0.0625
121 2014 0.0625
231 1754 0.0625
655 44 0.0625
45 3152 0.0625
744 989 0.125
459 46 0.0625
3292 675 0.125
48 96 0.0625
2492 3509 0.0625
2020 2021 0.0625
2580 3441 0.0625
170 169 0.1875
518 102 0.0625
3484 3483 0.0625
208 81 0.0625
2600 2823 0.0625
2230 600 0.0625
2600 2825 0.0625
2600 2824 0.0625
935 147 0.0625
854 327 0.125
554 1280 0.0625
959 800 0.0625
1502 1405 0.0625
117 204 0.125
1987 1986 0.125
3571 164 0.0625
2087 421 0.0625
2667 2402 0.0625
2921 2923 0.0625
3316 944 0.0625
505 2611 0.0625
39 980 0.1875
369 371 0.1875
369 370 0.0625
1180 553 0.125
1402 1607 0.0625
3259 3258 0.0625
227 50 0.0625
2003 2778 0.0625
45 3158 0.0625
1507 335 0.0625
69 2779 0.0625
3050 1130 0.0625
565 516 0.0625
27 1085 0.125
311 1133 0.0625
183 553 0.0625
1327 1178 0.0625
252 470 0.0625
719 336 0.0625
2480 2481 0.0625
140 591 0.0625
437 1623 0.0625
1055 1457 0.0625
590 592 0.0625
590 591 0.0625
83 110 0.0625
153 3183 0.125
553 332 0.125
742 741 0.0625
742 740 0.0625
965 103 0.0625
2197 762 0.0625
1327 317 0.0625
1178 2509 0.125
1585 889 0.0625
3447 3048 0.0625
2779 69 0.0625
3153 3152 0.0625
274 275 0.0625
1473 821 0.125
419 296 0.125
592 732 0.0625
748 342 0.125
314 330 0.0625
108 1117 0.0625
2664 2663 0.0625
2664 2662 0.0625
201 549 0.125
3121 3120 0.0625
825 1760 0.0625
2380 208 0.0625
1280 410 0.0625
98 100 0.0625
98 101 0.0625
98 102 0.0625
66 208 0.0625
506 3308 0.125
2950 2951 0.0625
719 3178 0.0625
364 399 0.0625
1097 1098 0.0625
2354 2439 0.0625
1429 334 0.0625
2227 79 0.0625
1097 1095 0.0625
1097 1096 0.0625
136 1877 0.125
1819 173 0.0625
501 388 0.0625
927 1198 0.0625
358 1075 0.0625
3291 562 0.0625
563 562 0.0625
877 153 0.0625
3613 1001 0.0625
2386 2385 0.0625
2386 2384 0.0625
161 2459 0.0625
1161 436 0.0625
300 302 0.0625
300 301 0.0625
1387 1390 0.125
1976 276 0.0625
267 540 0.0625
969 1612 0.0625
12 11 0.5
3024 3026 0.0625
12 13 0.125
3460 81 0.0625
45 3358 0.0625
1110 750 0.0625
2842 3400 0.0625
3488 3489 0.0625
1220 3124 0.0625
3251 1071 0.0625
1001 3613 0.0625
1073 805 0.0625
807 2790 0.0625
76 2487 0.125
1432 656 0.0625
738 202 0.0625
1512 599 0.0625
310 805 0.0625
2287 1149 0.0625
3163 3164 0.0625
3163 3165 0.0625
1529 2158 0.0625
96 198 0.0625
1157 3410 0.0625
1850 45 0.0625
878 104 0.125
1742 1171 0.0625
38 113 0.1875
38 112 0.0625
130 2240 0.0625
130 2241 0.0625
1621 1477 0.125
1155 850 0.0625
865 99 0.125
1155 587 0.0625
227 2487 0.125
227 2486 0.125
310 207 0.125
2234 2232 0.0625
865 91 0.0625
93 130 0.25
865 93 0.125
1171 1742 0.0625
1196 2756 0.0625
243 2347 0.0625
1465 1202 0.0625
2722 2531 0.0625
294 1752 0.0625
893 1008 0.0625
807 36 0.0625
313 126 0.0625
276 147 0.0625
1365 435 0.125
26 27 0.1875
1666 42 0.0625
510 2120 0.0625
2013 864 0.125
200 371 0.0625
200 370 0.0625
655 1371 0.0625
2522 1100 0.0625
276 148 0.0625
509 1616 0.0625
807 126 0.0625
233 2315 0.0625
2456 596 0.0625
622 2424 0.0625
575 3322 0.0625
1152 1151 0.0625
151 99 0.0625
148 314 0.0625
148 315 0.0625
631 980 0.0625
148 313 0.0625
133 626 0.125
1713 1712 0.0625
3437 2605 0.0625
645 45 0.0625
1713 1711 0.0625
3052 1420 0.0625
1713 1714 0.0625
1713 1715 0.0625
57 58 0.0625
57 59 0.0625
944 2531 0.0625
216 2428 0.0625
3392 88 0.0625
3156 854 0.0625
276 772 0.0625
2410 2411 0.0625
3035 2813 0.0625
738 335 0.0625
3553 3555 0.0625
3512 898 0.0625
51 1171 0.0625
427 919 0.0625
401 1239 0.0625
2954 652 0.0625
631 180 0.125
856 326 0.0625
1035 260 0.0625
1137 3413 0.125
332 3438 0.0625
401 402 0.25
199 694 0.0625
110 1847 0.0625
652 1547 0.0625
928 580 0.0625
770 242 0.125
217 892 0.0625
1348 1808 0.0625
12 2685 0.0625
1980 198 0.1875
1151 1281 0.0625
1151 1282 0.0625
709 878 0.0625
30 1062 0.125
1292 1926 0.0625
76 2486 0.125
2983 889 0.0625
1071 1568 0.0625
2371 1177 0.0625
1059 234 0.0625
2794 218 0.0625
2566 2565 0.0625
2003 93 0.0625
2566 2567 0.0625
3514 655 0.0625
334 533 0.0625
1592 946 0.0625
45 443 0.0625
1592 944 0.0625
942 941 0.0625
942 940 0.0625
1429 921 0.0625
3243 973 0.0625
435 2042 0.0625
161 288 0.3125
227 1365 0.0625
249 1442 0.125
249 1440 0.0625
249 1441 0.0625
16 854 0.0625
136 3158 0.0625
1236 346 0.25
349 718 0.0625
639 636 0.0625
639 637 0.0625
639 634 0.0625
639 635 0.0625
2691 312 0.0625
639 638 0.0625
896 416 0.0625
70 68 0.0625
70 69 0.0625
3398 3399 0.0625
687 1295 0.0625
2470 2469 0.0625
2982 2983 0.0625
882 881 0.0625
882 880 0.125
882 883 0.0625
1939 1520 0.0625
2573 101 0.0625
997 110 0.0625
3584 3586 0.0625
1052 569 0.0625
770 1444 0.0625
541 850 0.0625
37 694 0.125
228 1188 0.125
210 209 0.0625
2924 2925 0.0625
244 2651 0.0625
2348 794 0.125
550 549 0.0625
227 701 0.0625
119 1529 0.0625
1090 1272 0.0625
800 151 0.0625
777 737 0.0625
878 1336 0.3125
3224 3084 0.0625
470 1671 0.0625
1014 40 0.125
294 1060 0.125
151 351 0.25
151 353 0.0625
1723 1722 0.0625
429 168 0.0625
3477 134 0.0625
823 824 0.0625
823 825 0.0625
823 826 0.0625
3455 2371 0.0625
1875 1212 0.0625
1335 1149 0.0625
308 1162 0.0625
237 573 0.0625
510 164 0.0625
350 569 0.0625
242 2930 0.0625
10 1201 0.0625
10 1200 0.0625
260 504 0.4375
829 807 0.0625
436 105 0.0625
48 335 0.0625
592 1294 0.25
3507 1295 0.0625
592 1292 0.1875
592 1293 0.25
2268 3525 0.0625
3044 734 0.0625
1349 1346 0.0625
1349 1347 0.125
388 1363 0.125
93 2329 0.0625
3003 1365 0.0625
694 1044 0.0625
269 75 0.0625
708 707 0.0625
1381 303 0.0625
1483 2942 0.0625
948 2614 0.125
1742 897 0.0625
2749 1134 0.0625
985 152 0.0625
510 1662 0.0625
67 35 0.375
609 1742 0.0625
836 42 0.0625
420 1497 0.0625
67 1849 0.0625
1671 260 0.0625
3294 3352 0.0625
1270 487 0.125
1451 828 0.0625
1250 1251 0.125
1189 1190 0.0625
541 272 0.125
700 1465 0.0625
126 45 0.1875
309 166 0.0625
379 378 0.125
326 12 0.0625
309 165 0.125
385 276 0.0625
2392 863 0.0625
3572 3573 0.0625
679 2905 0.0625
3467 2021 0.0625
1297 835 0.125
854 16 0.0625
1750 245 0.0625
435 3184 0.0625
1315 51 0.0625
3432 3431 0.0625
3303 3306 0.0625
800 144 0.0625
2850 1280 0.0625
2143 3019 0.0625
336 1374 0.0625
1203 2135 0.125
1855 3461 0.0625
698 700 0.0625
435 793 0.0625
553 2272 0.0625
652 1666 0.1875
1997 360 0.0625
442 441 0.0625
442 440 0.0625
1332 1333 0.0625
1678 3379 0.0625
316 2338 0.0625
799 19 0.0625
748 642 0.375
1457 2937 0.0625
30 2570 0.0625
1814 1666 0.0625
576 3468 0.0625
2979 1012 0.0625
263 170 0.125
3113 49 0.0625
373 2867 0.0625
1455 771 0.0625
125 198 0.0625
2916 738 0.0625
1329 1503 0.0625
591 194 0.0625
3292 130 0.0625
999 3066 0.0625
51 271 0.0625
2676 352 0.0625
2029 3010 0.0625
435 427 0.1875
234 3431 0.0625
805 310 0.0625
1842 201 0.125
1017 1116 0.0625
1700 2212 0.0625
1246 77 0.0625
121 1501 0.0625
557 234 0.0625
1944 216 0.0625
248 1867 0.0625
2117 40 0.0625
3030 425 0.0625
167 3092 0.125
1560 2349 0.0625
2900 2901 0.0625
1202 309 0.0625
1297 2596 0.0625
791 865 0.0625
3179 2202 0.0625
128 549 0.0625
640 642 0.0625
640 641 0.0625
337 157 0.0625
1695 1696 0.0625
2836 2837 0.0625
2883 2882 0.0625
1869 148 0.0625
1882 1881 0.0625
252 1338 0.0625
1882 1883 0.0625
2678 2681 0.0625
1882 1884 0.0625
275 2763 0.0625
779 919 0.0625
83 306 0.0625
276 1007 0.0625
1036 970 0.0625
2579 2831 0.0625
2587 2588 0.0625
230 3549 0.0625
1259 1258 0.0625
2818 419 0.25
129 935 0.0625
273 1877 0.0625
430 3128 0.0625
755 192 0.0625
3501 600 0.0625
336 1955 0.125
850 922 0.0625
850 921 0.0625
631 130 0.0625
245 36 0.25
1162 568 0.0625
1479 44 0.0625
276 330 0.0625
537 1102 0.125
906 1940 0.0625
945 554 0.0625
165 166 0.4375
3187 962 0.0625
2263 2562 0.0625
2263 2561 0.0625
3187 963 0.0625
1707 762 0.0625
3508 423 0.0625
2758 968 0.0625
2134 38 0.1875
1415 1416 0.0625
2338 1017 0.125
531 532 0.0625
531 533 0.0625
531 530 0.0625
3563 425 0.0625
1088 555 0.0625
412 300 0.0625
162 1235 0.25
1198 978 0.0625
2117 226 0.0625
8 2148 0.0625
1045 1044 0.0625
379 3062 0.0625
2216 1420 0.0625
506 2652 0.0625
805 609 0.0625
274 1831 0.0625
2 1448 0.0625
2714 380 0.0625
37 1668 0.0625
3378 2756 0.125
1843 679 0.0625
121 549 0.0625
1612 2461 0.0625
1582 514 0.1875
503 280 0.1875
8 2144 0.0625
2790 1006 0.0625
1069 1133 0.0625
434 433 0.3125
3395 2339 0.0625
2553 144 0.0625
974 975 0.125
637 2288 0.0625
637 2289 0.0625
2479 2477 0.0625
3395 2340 0.0625
1276 865 0.0625
827 2915 0.0625
317 793 0.0625
217 2794 0.0625
1636 1637 0.0625
1434 1147 0.125
794 655 0.0625
1126 1125 0.1875
1126 1124 0.0625
1126 1123 0.1875
587 1155 0.0625
1577 3236 0.0625
631 535 0.0625
361 1052 0.0625
168 2589 0.0625
694 1434 0.0625
25 1087 0.125
160 1059 0.0625
3225 430 0.0625
1135 1429 0.0625
3066 207 0.125
1961 1960 0.0625
45 336 0.0625
1797 260 0.0625
1327 103 0.0625
2526 1172 0.0625
502 1661 0.125
2197 2002 0.0625
2341 219 0.0625
1951 604 0.125
1809 1807 0.0625
542 170 0.0625
2690 2689 0.0625
628 37 0.125
231 826 0.0625
231 825 0.125
231 824 0.0625
231 823 0.0625
580 1452 0.0625
580 1451 0.0625
12 1196 0.125
239 2150 0.0625
1382 2057 0.0625
1331 1202 0.0625
1060 792 0.125
506 787 0.0625
2117 107 0.0625
148 272 0.0625
292 99 0.1875
77 104 0.0625
1140 249 0.0625
3311 2831 0.0625
144 143 0.125
144 414 0.0625
37 198 0.1875
317 1395 0.0625
